01/01 (수) # 설날.
01/02 (목) *
01/03 (금) *
01/04 (토) *
01/05 (일) *
01/06 (월) *
01/07 (화) *
01/08 (수) *
01/09 (목) *
01/10 (금) *
01/11 (토) *
01/12 (일) *
01/13 (월) *
01/14 (화) *
01/15 (수) *
01/16 (목) *
01/17 (금) *
01/18 (토) *
01/19 (일) *
01/20 (월) *
01/21 (화) *
01/22 (수) *
01/23 (목) *
01/24 (금) *
01/25 (토) *
01/26 (일) *
01/27 (월) *
01/28 (화) *
01/29 (수) *
01/30 (목) # 설 연휴.
01/31 (금) # 설 연휴.
02/01 (토) # 설 연휴.
02/02 (일) *
02/03 (월) *
02/04 (화) *
02/05 (수) *
02/06 (목) *
02/07 (금) *
02/08 (토) *
02/09 (일) *
02/10 (월) *
02/11 (화) *
02/12 (수) *
02/13 (목) *
02/14 (금) *
02/15 (토) *
02/16 (일) *
02/17 (월) *
02/18 (화) *
02/19 (수) *
02/20 (목) *
02/21 (금) *
02/22 (토) *
02/23 (일) *
02/24 (월) *
02/25 (화) *
02/26 (수) *
02/27 (목) *
02/28 (금) *
03/01 (토) # 삼일절.
03/02 (일) *
03/03 (월) 입학식, 1학기 개강.
03/04 (화) *
03/05 (수) *
03/06 (목) *
03/07 (금) *
03/08 (토) *
03/09 (일) *
03/10 (월) *
03/11 (화) *
03/12 (수) 김행임 조교님 생일.
03/13 (목) *
03/14 (금) *
03/15 (토) *
03/16 (일) *
03/17 (월) *
03/18 (화) *
03/19 (수) *
03/20 (목) *
03/21 (금) *
03/22 (토) *
03/23 (일) *
03/24 (월) *
03/25 (화) *
03/26 (수) *
03/27 (목) *
03/28 (금) *
03/29 (토) *
03/30 (일) *
03/31 (월) *
04/01 (화) *
04/02 (수) *
04/03 (목) *
04/04 (금) *
04/05 (토) *
04/06 (일) *
04/07 (월) *
04/08 (화) *
04/09 (수) *
04/10 (목) *
04/11 (금) *
04/12 (토) *
04/13 (일) *
04/14 (월) *
04/15 (화) *
04/16 (수) *
04/17 (목) *
04/18 (금) *
04/19 (토) *
04/20 (일) *
04/21 (월) 1학기 중간시험 시작.
04/22 (화) *
04/23 (수) *
04/24 (목) *
04/25 (금) 1학기 중간시험 종료.
04/26 (토) *
04/27 (일) *
04/28 (월) *
04/29 (화) *
04/30 (수) *
05/01 (목) *
05/02 (금) *
05/03 (토) *
05/04 (일) *
05/05 (월) # 어린이날.
05/06 (화) # 석가탄신일.
05/07 (수) *
05/08 (목) *
05/09 (금) *
05/10 (토) *
05/11 (일) *
05/12 (월) *
05/13 (화) *
05/14 (수) *
05/15 (목) *
05/16 (금) *
05/17 (토) *
05/18 (일) *
05/19 (월) *
05/20 (화) *
05/21 (수) *
05/22 (목) *
05/23 (금) *
05/24 (토) *
05/25 (일) *
05/26 (월) *
05/27 (화) *
05/28 (수) *
05/29 (목) *
05/30 (금) *
05/31 (토) *
06/01 (일) *
06/02 (월) *
06/03 (화) *
06/04 (수) *
06/05 (목) *
06/06 (금) # 현충일.
06/07 (토) *
06/08 (일) *
06/09 (월) *
06/10 (화) *
06/11 (수) *
06/12 (목) 1학기 기말시험 시작.
06/13 (금) *
06/14 (토) *
06/15 (일) *
06/16 (월) *
06/17 (화) *
06/18 (수) 1학기 기말시험 종료 및 1학기 종강.
06/19 (목) 하계방학 시작.
06/20 (금) *
06/21 (토) *
06/22 (일) *
06/23 (월) *
06/24 (화) 하계 계절학기 개강.
06/25 (수) *
06/26 (목) *
06/27 (금) *
06/28 (토) *
06/29 (일) *
06/30 (월) *
07/01 (화) *
07/02 (수) *
07/03 (목) *
07/04 (금) *
07/05 (토) *
07/06 (일) *
07/07 (월) *
07/08 (화) *
07/09 (수) *
